split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_cache_ratings,param_n_epochs,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi
0.8198400273037016,0.8652421416527685,0.8646177597067822,0.8447938972802553,0.848623456485877,0.01854150581393798,313,5.6338231563568115,0.03398157017475892,0.9186192750930786,0.02127584501144503,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.09, 'reg_all': 0.625, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.09,0.625,0,0
0.7499867044709182,0.7926477761821774,0.7892226225007458,0.7728667917801703,0.7761809737335029,0.016869823129425417,181,5.607953727245331,0.015845923257718466,0.9769976139068604,0.009493398674644831,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.012, 'reg_all': 0.454, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.012,0.454,0,0
0.8651776797814331,0.9140662620257622,0.9093262747894372,0.894314758708288,0.8957212438262301,0.01908221727942403,419,5.701981365680695,0.05362748361977176,0.9764127731323242,0.020457887489685713,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.059000000000000004, 'reg_all': 0.839, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.059000000000000004,0.839,0,0
0.7292785592527046,0.7677962449828308,0.7670680460976405,0.7463838259451895,0.7526316690695913,0.01599043953547788,143,5.72287780046463,0.032939765972349475,0.9712905287742615,0.04996196591151482,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.07100000000000001, 'reg_all': 0.307, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.07100000000000001,0.307,0,0
0.7527490934179432,0.7962830607294574,0.7943133191301335,0.7758703020620377,0.7798039438348929,0.01753226834841642,184,5.580175518989563,0.04520280393981713,0.9492135643959045,0.012878139524980058,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.037000000000000005, 'reg_all': 0.445, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.037000000000000005,0.445,0,0
0.8355767812966932,0.8834785002246818,0.8810954211658643,0.864017332139664,0.8660420087067258,0.019123714724569762,354,5.612619340419769,0.016885260600951017,0.9241645336151123,0.008032527803045584,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.062, 'reg_all': 0.721, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.062,0.721,0,0
0.8129052348740191,0.8607771822221135,0.8582643458050919,0.842972538735275,0.8437298254091249,0.019056452465067146,307,5.59087598323822,0.04119970020472902,0.9156807065010071,0.024491182284945446,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.035, 'reg_all': 0.649, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.035,0.649,0,0
0.6713193523638855,0.6939408640269491,0.6891916570827885,0.6702864461328204,0.681184579901611,0.010522928581022937,12,5.600070536136627,0.05784231548186444,0.9339615106582642,0.010476440668360744,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.013000000000000001, 'reg_all': 0.111, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.013000000000000001,0.111,0,0
0.7036885797245557,0.7401125595096788,0.7370478601640255,0.7169658320131536,0.7244537078528533,0.014925407351416294,102,5.639018416404724,0.018041411721427487,0.940298318862915,0.022587577465197718,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.035, 'reg_all': 0.272, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.035,0.272,0,0
0.7415066464282993,0.7835636017058876,0.7803453241594488,0.7630576021794474,0.7671182936182708,0.016717118335547516,171,5.686095476150513,0.020595601228318907,0.9176194667816162,0.01313883717498416,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 350, 'lr_all': 0.016, 'reg_all': 0.426, 'reg_bu': 0, 'reg_bi': 0}",1,True,350,0.016,0.426,0,0
