split0_test_rmse,split1_test_rmse,split2_test_rmse,split3_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_cache_ratings,param_n_epochs,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi,param_lr_bu,param_lr_bi
0.6966883028335595,0.6667064091048376,0.6806984624182265,0.6954960975503282,0.6848973179767379,0.012246438318245583,83,1.636430561542511,0.06113034530596677,0.08578068017959595,0.0035501667719735454,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.043000000000000003, 'reg_bi': 0.007, 'lr_bu': 0.018000000000000002, 'lr_bi': 0.029}",1,True,577,0.00263,0.00942,0.043000000000000003,0.007,0.018000000000000002,0.029
0.7075549121152971,0.6808513495833692,0.6888283120919817,0.7025151706163799,0.6949374361017571,0.010634401615707926,447,1.6370792388916016,0.030872653318985744,0.08565253019332886,0.011184955537901687,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.02, 'reg_bi': 0.026000000000000002, 'lr_bu': 0.046, 'lr_bi': 0.043000000000000003}",1,True,577,0.00263,0.00942,0.02,0.026000000000000002,0.046,0.043000000000000003
0.699485703399426,0.672516675249509,0.682507904124954,0.6969301414895336,0.6878601060658557,0.010971405912430933,167,1.6999636888504028,0.02510133180869703,0.0873611569404602,0.008490825200089158,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.023, 'reg_bi': 0.007, 'lr_bu': 0.048, 'lr_bi': 0.049}",1,True,577,0.00263,0.00942,0.023,0.007,0.048,0.049
0.6895414707858825,0.6638797467214351,0.6717320704967956,0.6864832900156975,0.6779091445049527,0.010533366406518056,4,1.6553645730018616,0.08743163332653825,0.08058273792266846,0.009339987567331048,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.001, 'reg_bi': 0.002, 'lr_bu': 0.028, 'lr_bi': 0.009000000000000001}",1,True,577,0.00263,0.00942,0.001,0.002,0.028,0.009000000000000001
0.7047319473156834,0.679571820367982,0.6884753523039309,0.7014826414849632,0.6935654403681399,0.010113151686590932,396,1.6419207453727722,0.0401602982451653,0.07163131237030029,0.005341273512665706,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.026000000000000002, 'reg_bi': 0.026000000000000002, 'lr_bu': 0.036000000000000004, 'lr_bi': 0.043000000000000003}",1,True,577,0.00263,0.00942,0.026000000000000002,0.026000000000000002,0.036000000000000004,0.043000000000000003
0.7045260334308682,0.6787612144788978,0.6848801223510088,0.7023367106669287,0.6926260202319259,0.011046940701052168,356,1.6217772960662842,0.05918545404063513,0.0754968523979187,0.010234899056928025,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.038, 'reg_bi': 0.03, 'lr_bu': 0.049, 'lr_bi': 0.013000000000000001}",1,True,577,0.00263,0.00942,0.038,0.03,0.049,0.013000000000000001
0.7072301711974375,0.6819477456528777,0.6875024605226645,0.70249901114942,0.6947948471305999,0.010394930816203622,444,1.633527934551239,0.014879321538415638,0.06587547063827515,0.003419194705177637,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.019, 'reg_bi': 0.032, 'lr_bu': 0.038, 'lr_bi': 0.029}",1,True,577,0.00263,0.00942,0.019,0.032,0.038,0.029
0.6980457670926512,0.6716298017110567,0.6829743410165764,0.6971780972642183,0.6874570017711257,0.010922638850135892,161,1.6188663244247437,0.044529053016988764,0.07552570104598999,0.0036934229763898804,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.037, 'reg_bi': 0.011, 'lr_bu': 0.04, 'lr_bi': 0.018000000000000002}",1,True,577,0.00263,0.00942,0.037,0.011,0.04,0.018000000000000002
0.699100039482397,0.673046048598471,0.6817573822842276,0.6949184311177077,0.6872054753707008,0.010381972675743683,156,1.6717129945755005,0.0607617350104022,0.09876030683517456,0.04344262609273885,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.018000000000000002, 'reg_bi': 0.008, 'lr_bu': 0.045, 'lr_bi': 0.029}",1,True,577,0.00263,0.00942,0.018000000000000002,0.008,0.045,0.029
0.7049225680213816,0.679185548898395,0.685312316814144,0.7013655370654889,0.6926964926998525,0.010743613264380591,363,1.6709198355674744,0.06115210072220426,0.07444804906845093,0.006533156694306204,"{'n_factors': 1, 'cache_ratings': True, 'n_epochs': 577, 'lr_all': 0.00263, 'reg_all': 0.00942, 'reg_bu': 0.045, 'reg_bi': 0.044, 'lr_bu': 0.025, 'lr_bi': 0.023}",1,True,577,0.00263,0.00942,0.045,0.044,0.025,0.023
