split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_lr_all,param_n_epochs,param_n_factors,param_reg_all,param_reg_bi,param_reg_bu
0.7034393173218308,0.7132635924224994,0.7224571769635516,0.7130533622359606,0.007765431685212222,622,1.6905537446339924,0.011629576039500596,0.0944368839263916,0.004807717030236658,"{'lr_all': 0.02351951108792003, 'n_epochs': 200, 'n_factors': 49, 'reg_all': 0.12338831870135372, 'reg_bi': 0, 'reg_bu': 0}",0.02351951108792003,200,49,0.12338831870135372,0,0
0.7008535658393317,0.7128010218682643,0.7220683798057573,0.7119076558377845,0.008683918472510892,111,1.1679503122965496,0.0036223509740979155,0.10167614618937175,0.010953235865244278,"{'lr_all': 0.011493590533233565, 'n_epochs': 200, 'n_factors': 18, 'reg_all': 0.17693537703853668, 'reg_bi': 0, 'reg_bu': 0}",0.011493590533233565,200,18,0.17693537703853668,0,0
0.7019707486154286,0.7157385261480147,0.7254432392024729,0.7143841713219721,0.009630339604113624,855,1.9173535505930583,0.018409409232721715,0.09579197565714519,0.008170997205424019,"{'lr_all': 0.0146250750530531, 'n_epochs': 200, 'n_factors': 64, 'reg_all': 0.17426590502180478, 'reg_bi': 0, 'reg_bu': 0}",0.0146250750530531,200,64,0.17426590502180478,0,0
0.7029049730435895,0.7157140330817175,0.7216980636631762,0.7134390232628277,0.007839082259892159,721,0.9900476932525635,0.014536446771726816,0.09576638539632161,0.006468071350525166,"{'lr_all': 0.02609126222181183, 'n_epochs': 200, 'n_factors': 6, 'reg_all': 0.16060952351525792, 'reg_bi': 0, 'reg_bu': 0}",0.02609126222181183,200,6,0.16060952351525792,0,0
0.703581944610133,0.7162113042258541,0.7236217453912176,0.7144716647424016,0.008273176052185353,864,1.0567033290863037,0.00867083068419719,0.09652948379516602,0.004526536385060576,"{'lr_all': 0.034789320239121777, 'n_epochs': 200, 'n_factors': 9, 'reg_all': 0.14840939029920905, 'reg_bi': 0, 'reg_bu': 0}",0.034789320239121777,200,9,0.14840939029920905,0,0
0.7011954327335972,0.7136968904248358,0.7230385593271129,0.712643627495182,0.008948466048968977,456,2.2259406248728433,0.014957571352681057,0.09698796272277832,0.0011631545662117045,"{'lr_all': 0.023235491246323434, 'n_epochs': 200, 'n_factors': 86, 'reg_all': 0.16629443649955045, 'reg_bi': 0, 'reg_bu': 0}",0.023235491246323434,200,86,0.16629443649955045,0,0
0.7013982672347062,0.714323694372478,0.7223183651909131,0.7126801089326991,0.008619306021860172,479,1.632595698038737,0.005662568376463817,0.08925096193949382,0.0047108011894943435,"{'lr_all': 0.02420945485818766, 'n_epochs': 200, 'n_factors': 47, 'reg_all': 0.14852101960290404, 'reg_bi': 0, 'reg_bu': 0}",0.02420945485818766,200,47,0.14852101960290404,0,0
0.7005350135961583,0.7145725594233363,0.7228454329178146,0.7126510019791031,0.009208980755604789,464,1.5453245639801025,0.06604226917257981,0.09922591845194499,0.008037853427132351,"{'lr_all': 0.018786303156392396, 'n_epochs': 200, 'n_factors': 39, 'reg_all': 0.17860319566627844, 'reg_bi': 0, 'reg_bu': 0}",0.018786303156392396,200,39,0.17860319566627844,0,0
0.7025986918397386,0.7134761167077814,0.7230755974427621,0.7130501353300941,0.008365086605225565,621,1.2113695939381917,0.011222151620876556,0.14745092391967773,0.007942402253837967,"{'lr_all': 0.0247637609611942, 'n_epochs': 200, 'n_factors': 17, 'reg_all': 0.16993668266268622, 'reg_bi': 0, 'reg_bu': 0}",0.0247637609611942,200,17,0.16993668266268622,0,0
0.7015259431102168,0.7164444671843933,0.7226861175930693,0.7135521759625597,0.008877396668697884,743,1.2800569534301758,0.013472201149702899,0.10304927825927734,0.01320832697908739,"{'lr_all': 0.016582317444293275, 'n_epochs': 200, 'n_factors': 18, 'reg_all': 0.14492084388639473, 'reg_bi': 0, 'reg_bu': 0}",0.016582317444293275,200,18,0.14492084388639473,0,0
