split0_test_rmse,split1_test_rmse,split2_test_rmse,mean_test_rmse,std_test_rmse,rank_test_rmse,mean_fit_time,std_fit_time,mean_test_time,std_test_time,params,param_n_factors,param_n_epochs,param_lr_all,param_reg_all,param_reg_bu,param_reg_bi
0.7601676889768647,0.7136792184128589,0.7631960262575634,0.745680977882429,0.0226624088677349,2487,0.04205735524495443,0.0029717514826661734,0.08504104614257812,0.012205433941249224,"{'n_factors': 1, 'n_epochs': 11, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,11,0.03981071705535002,0.10000000000000082,0,0
0.7670867850329992,0.7091622112345977,0.7581133188052744,0.7447874383576237,0.02545582290571158,2486,0.046114047368367515,0.0033677807442990967,0.09421698252360027,0.009430244691089782,"{'n_factors': 1, 'n_epochs': 12, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,12,0.03981071705535002,0.10000000000000082,0,0
0.7272121778805183,0.7029885283999668,0.9812086952913973,0.8038031338572941,0.12583387519358255,2490,0.04676739374796549,0.0016577923057461198,0.08556691805521648,0.006278914333208781,"{'n_factors': 1, 'n_epochs': 13, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,13,0.03981071705535002,0.10000000000000082,0,0
0.7286859823168149,0.7093725584199834,0.7334831154997448,0.7238472187455143,0.010420811399896432,2484,0.05248117446899414,0.005878342852488119,0.07506465911865234,0.004316260961085675,"{'n_factors': 1, 'n_epochs': 14, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,14,0.03981071705535002,0.10000000000000082,0,0
0.7203066467560953,0.7033788927686333,0.7257390022629409,0.7164748472625565,0.009522101997226213,2483,0.05492838223775228,0.0017022412054042522,0.08058412869771321,0.0014746029763957032,"{'n_factors': 1, 'n_epochs': 15, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,15,0.03981071705535002,0.10000000000000082,0,0
0.7210798518312919,0.6895841197803614,0.7217824487194925,0.7108154734437152,0.015015574012352073,2481,0.06340829531351726,0.0029832454537829377,0.08595657348632812,0.006383870784936079,"{'n_factors': 1, 'n_epochs': 16, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,16,0.03981071705535002,0.10000000000000082,0,0
0.7259098215732658,0.6923720018119094,0.7171636567517912,0.7118151600456555,0.014204486412115606,2482,0.06818103790283203,0.004104357001606434,0.08447043100992839,0.006830793112402254,"{'n_factors': 1, 'n_epochs': 17, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,17,0.03981071705535002,0.10000000000000082,0,0
0.7745988522673058,0.6892674081079756,0.7204488506728565,0.728105037016046,0.03525456691522821,2485,0.06692735354105632,0.007547666905661136,0.08827598889668782,0.0012038705969329064,"{'n_factors': 1, 'n_epochs': 18, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,18,0.03981071705535002,0.10000000000000082,0,0
0.7143361129062719,0.6869039180709092,0.7165537352182385,0.7059312553984732,0.013484784920106935,2479,0.07660571734110515,0.010393902106313526,0.0905611515045166,0.006490943791634647,"{'n_factors': 1, 'n_epochs': 19, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,19,0.03981071705535002,0.10000000000000082,0,0
0.7112461586156014,0.6887620676090286,0.7130267449602972,0.7043449903949757,0.011042742227282793,2477,0.08406352996826172,0.0049379924823081435,0.09021504720052083,0.007207227080803997,"{'n_factors': 1, 'n_epochs': 20, 'lr_all': 0.03981071705535002, 'reg_all': 0.10000000000000082, 'reg_bu': 0, 'reg_bi': 0}",1,20,0.03981071705535002,0.10000000000000082,0,0
